"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/everlast1ng/code/atcoder/ABC 423/C.cpp", "C++", 0, -45, -1, -10, -56
"/home/everlast1ng/code/atcoder/ABC 423/D.cpp", "C++", 0, -51, -1, -9, -61
"/home/everlast1ng/code/atcoder/ABC 423/E.cpp", "C++", 0, -44, -1, -7, -52
"/home/everlast1ng/code/atcoder/ABC 424/A.cpp", "C++", 0, -30, -1, -5, -36
"/home/everlast1ng/code/atcoder/ABC 424/B.cpp", "C++", 0, -38, -1, -7, -46
"/home/everlast1ng/code/atcoder/ABC 425/A.cpp", "C++", 0, -34, -1, -5, -40
"/home/everlast1ng/code/atcoder/ABC 425/B.cpp", "C++", 0, -55, -1, -9, -65
"/home/everlast1ng/code/atcoder/ABC 425/C.cpp", "C++", 0, -50, -3, -9, -62
"/home/everlast1ng/code/atcoder/ABC 426/A.cpp", "C++", 0, -41, -1, -7, -49
"/home/everlast1ng/code/atcoder/ABC 426/B.cpp", "C++", 0, -40, -1, -7, -48
"/home/everlast1ng/code/atcoder/ABC 426/C.cpp", "C++", 0, -38, -1, -8, -47
"/home/everlast1ng/code/atcoder/ABC 426/D.cpp", "C++", 0, -53, -1, -12, -66
"/home/everlast1ng/code/atcoder/ABC 427/A.cpp", "C++", 0, -36, -1, -7, -44
"/home/everlast1ng/code/atcoder/ABC 427/B.cpp", "C++", 0, -38, -1, -5, -44
"/home/everlast1ng/code/atcoder/ABC 427/C.cpp", "C++", 0, -73, -1, -9, -83
"/home/everlast1ng/code/atcoder/ABC 428/A.cpp", "C++", 0, -35, -1, -6, -42
"/home/everlast1ng/code/atcoder/ABC 428/B.cpp", "C++", 0, -47, -1, -10, -58
"/home/everlast1ng/code/atcoder/ABC 428/C.cpp", "C++", 0, -51, -1, -9, -61
"/home/everlast1ng/code/atcoder/ABC 428/D.cpp", "C++", 0, -47, 0, -8, -55
"/home/everlast1ng/code/atcoder/ABC 429/A.cpp", "C++", 0, -35, -1, -4, -40
"/home/everlast1ng/code/atcoder/ABC 429/B.cpp", "C++", 0, -37, -1, -4, -42
"/home/everlast1ng/code/atcoder/ABC 429/C.cpp", "C++", 0, -41, -1, -7, -49
"/home/everlast1ng/code/atcoder/ABC 429/D.cpp", "C++", 0, -49, -1, -8, -58
"/home/everlast1ng/code/atcoder/ABC 430/A.cpp", "C++", 0, -32, -1, -4, -37
"/home/everlast1ng/code/atcoder/ABC 430/B.cpp", "C++", 0, -36, -1, -8, -45
"/home/everlast1ng/code/atcoder/ABC 430/C.cpp", "C++", 0, -41, -1, -9, -51
"/home/everlast1ng/code/atcoder/ABC 433/A.cpp", "C++", 0, -31, -1, -5, -37
"/home/everlast1ng/code/atcoder/ABC 433/B.cpp", "C++", 0, -48, -1, -7, -56
"/home/everlast1ng/code/atcoder/ABC 433/C.cpp", "C++", 0, -45, -4, -7, -56
"/home/everlast1ng/code/atcoder/ABC 433/D.cpp", "C++", 0, -49, -1, -11, -61
"/home/everlast1ng/code/atcoder/ABC 434/A.cpp", "C++", 0, -27, -1, -5, -33
"/home/everlast1ng/code/atcoder/ABC 434/B.cpp", "C++", 0, -35, -1, -5, -41
"/home/everlast1ng/code/atcoder/ABC 434/C.cpp", "C++", 0, -45, 0, -11, -56
"/home/everlast1ng/code/atcoder/ABC 434/D.cpp", "C++", 0, -56, -1, -9, -66
"/home/everlast1ng/code/atcoder/AtCoder Beginner Contest 431/A.cpp", "C++", 0, -28, -1, -3, -32
"/home/everlast1ng/code/atcoder/AtCoder Beginner Contest 431/B.cpp", "C++", 0, -40, -1, -6, -47
"/home/everlast1ng/code/atcoder/AtCoder Beginner Contest 431/C.cpp", "C++", 0, -52, -1, -8, -61
"/home/everlast1ng/code/atcoder/AtCoder Beginner Contest 432/A.cpp", "C++", 0, -28, -1, -6, -35
"/home/everlast1ng/code/atcoder/AtCoder Beginner Contest 432/B.cpp", "C++", 0, -44, -1, -8, -53
"/home/everlast1ng/code/atcoder/practice/A.cpp", "C++", 0, -25, -1, -3, -29
"/home/everlast1ng/code/atcoder/practice/beginner 430/A.cpp", "C++", 0, -32, -1, -4, -37
